"P1";"P2";"P3";"P4";"P5";"P6";"P5C";"P5CSharp";"P5PlusPlus";"P5PHP";"P5Python";"P5Assembler"
"Rarely";"No";"Definitely no";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"No";"No";"Eclipse";"PHP";5;"No";"No";"No";"Yes";"No";"No"
"Occasionally";"No";"No";"IntelliJ IDEA";"C, Python";6;"Yes";"No";"No";"No";"Yes";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Occasionally";"Yes";"Yes";"Eclipse";"C, Assembler";12;"Yes";"No";"No";"No";"No";"Yes"
"Most of the time";"No";"Definitely yes";"IntelliJ IDEA";"C#, PHP, Assembler";5;"No";"Yes";"No";"Yes";"No";"Yes"
"Occasionally";"Yes";"No";"Eclipse";"PHP, Python";7;"No";"No";"No";"Yes";"Yes";"No"
"Occasionally";"Yes";"Yes";"Eclipse";"PHP, Python, C#";4;"No";"Yes";"No";"Yes";"Yes";"No"
"Rarely";"No";"Definitely no";"Don't know";"PHP, Python, C";5;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"No";"No";"Don't know";"C#, PHP, Assembler";3;"No";"Yes";"No";"Yes";"No";"Yes"
"Rarely";"Yes";"Definitely no";"NetBeans";"PHP";5;"No";"No";"No";"Yes";"No";"No"
"Rarely";"No";"No";"Don't know";"PHP, Python";2;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely no";"IntelliJ IDEA";"PHP, Python, C#";7;"No";"Yes";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely no";"Don't know";"PHP";3;"No";"No";"No";"Yes";"No";"No"
"Rarely";"Yes";"Definitely no";"Don't know";"Python";10;"No";"No";"No";"No";"Yes";"No"
"Rarely";"No";"Definitely no";"Eclipse";"PHP, Python";2;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"No";"Definitely no";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely no";"Eclipse";"PHP";3;"No";"No";"No";"Yes";"No";"No"
"Rarely";"No";"No";"IntelliJ IDEA";"PHP, Python";10;"No";"No";"No";"Yes";"Yes";"No"
"Occasionally";"Yes";"Definitely no";"Don't know";"Python";3;"No";"No";"No";"No";"Yes";"No"
"Rarely";"Yes";"No";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"No";"Eclipse";"PHP";3;"No";"No";"No";"Yes";"No";"No"
"Seldom";"Yes";"Definitely no";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Rarely";"No";"Definitely no";"Eclipse";"PHP, Python, C#";1;"No";"Yes";"No";"Yes";"Yes";"No"
"Rarely";"Yes";"No";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
